epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.1274,0.74662,1.67473,1.05831,0.73567,0.62653,0.66857,0.47702,0.87767,1.84014,1.09258,0.000647059,0.000647059,0.000647059
2,180.566,0.60679,0.86015,0.94657,0.71221,0.70201,0.75705,0.56259,0.81876,1.36492,1.06172,0.0012617,0.0012617,0.0012617
3,262.596,0.60628,0.79744,0.94471,0.67793,0.66156,0.71685,0.54419,0.81395,1.30392,1.05672,0.00182355,0.00182355,0.00182355
4,344.951,0.57743,0.73331,0.92908,0.72138,0.79184,0.77509,0.6058,0.78583,1.0948,1.05084,0.0017624,0.0017624,0.0017624
5,435.291,0.56531,0.70478,0.92955,0.76232,0.76735,0.82643,0.65953,0.78456,1.21357,1.10544,0.0016832,0.0016832,0.0016832
6,517.307,0.55111,0.65003,0.91545,0.78546,0.80204,0.86182,0.70861,0.69442,0.92607,0.98858,0.001604,0.001604,0.001604
7,600.853,0.52314,0.61684,0.909,0.8696,0.81224,0.89739,0.7426,0.67671,0.85025,0.98676,0.0015248,0.0015248,0.0015248
8,681.965,0.51535,0.58744,0.91079,0.80446,0.84798,0.89263,0.73946,0.64321,0.82687,0.92857,0.0014456,0.0014456,0.0014456
9,762.825,0.5024,0.53791,0.90141,0.85848,0.82944,0.91503,0.78007,0.58907,0.76566,0.921,0.0013664,0.0013664,0.0013664
10,843.871,0.48647,0.52401,0.89709,0.83731,0.77143,0.88094,0.75467,0.6047,0.81868,0.93953,0.0012872,0.0012872,0.0012872
11,924.68,0.48395,0.51446,0.90031,0.84121,0.84082,0.91193,0.76514,0.62735,0.74434,0.95823,0.001208,0.001208,0.001208
12,1005.61,0.48938,0.50229,0.89462,0.80929,0.84694,0.87624,0.72299,0.62922,0.7636,0.94966,0.0011288,0.0011288,0.0011288
13,1087.24,0.48037,0.48753,0.88823,0.79231,0.88367,0.91147,0.75288,0.6791,0.7388,1.02535,0.0010496,0.0010496,0.0010496
14,1167.96,0.46136,0.46787,0.88914,0.86768,0.85651,0.93367,0.79972,0.57871,0.65169,0.92541,0.0009704,0.0009704,0.0009704
15,1249.08,0.45416,0.42869,0.88225,0.8596,0.8449,0.91818,0.79496,0.56589,0.69348,0.91204,0.0008912,0.0008912,0.0008912
16,1327.7,0.4179,0.4114,0.85821,0.86903,0.83956,0.91111,0.78346,0.57412,0.69628,0.91718,0.000812,0.000812,0.000812
17,1406.48,0.40933,0.3957,0.85312,0.85014,0.85674,0.91461,0.79492,0.53929,0.69397,0.90286,0.0007328,0.0007328,0.0007328
18,1484.88,0.40836,0.37176,0.84861,0.8911,0.84286,0.93487,0.80447,0.55738,0.63328,0.91764,0.0006536,0.0006536,0.0006536
19,1563.41,0.39598,0.35782,0.84237,0.85399,0.8551,0.92143,0.80157,0.5473,0.66299,0.90335,0.0005744,0.0005744,0.0005744
20,1654.27,0.38461,0.34536,0.84243,0.92307,0.80612,0.9182,0.79861,0.54229,0.63548,0.90576,0.0004952,0.0004952,0.0004952
21,1732.7,0.38297,0.32635,0.84116,0.86744,0.84082,0.92,0.79237,0.55444,0.72774,0.91025,0.000416,0.000416,0.000416
22,1811.15,0.3702,0.30898,0.83419,0.90936,0.83265,0.9263,0.81505,0.5102,0.64313,0.8879,0.0003368,0.0003368,0.0003368
23,1891.63,0.36656,0.3023,0.83642,0.90042,0.80612,0.92565,0.81366,0.51524,0.64405,0.89001,0.0002576,0.0002576,0.0002576
24,1970.93,0.35765,0.29545,0.83306,0.91427,0.82706,0.92733,0.81059,0.51392,0.64534,0.89935,0.0001784,0.0001784,0.0001784
25,2072.62,0.34823,0.28061,0.83141,0.89848,0.84894,0.93741,0.8231,0.5107,0.60636,0.89839,9.92e-05,9.92e-05,9.92e-05
